Model,Train_RMSE,Train_MAE,Train_R2,Train_MAPE,Val_RMSE,Val_MAE,Val_R2,Val_MAPE,CV_Mean,CV_Std,Training_Time,Early_Predictions,Late_Predictions
gradient_boosting,25.400932225381084,18.14978573215313,0.9075514925184779,1.3387902100016962e+16,40.27430612393828,26.68064158357678,0.7788399615998568,8596886270338120.0,1202.9472992105937,97.0421664017858,467.379463,3440,3527
random_forest,23.70776374300322,16.264449892784697,0.919465535716745,1.0402854868077024e+16,41.00176323778212,26.695414323722012,0.7707783733866176,6374837658031573.0,1231.0866897098058,69.81882479808651,363.972226,3408,3559
extra_trees,27.17596717193661,18.883547491799593,0.8941793045862099,1.2611121408955546e+16,41.248823404232574,27.27741506069788,0.7680076558280141,6326902745294636.0,1278.043237010142,81.38915233046231,193.882191,3451,3516
mlp,33.245921403274075,23.113406796718692,0.8416283868520702,1.9384357129495524e+16,41.72457866034927,28.375117070578764,0.7626252924421495,2883551855947135.0,1359.817235790635,98.94990330484525,387.674617,3127,3840
svr,34.94143453822557,22.703320880733976,0.8250628466913197,1.5765695576595294e+16,43.25000630095653,29.039721775213312,0.7449514415529589,7003074088662044.0,1433.977567079553,127.85468110568956,223.117416,3489,3478
lasso,40.6809914163414,30.455118700776044,0.7628715571387855,4.65167241919962e+16,46.36356673173196,33.81084768964982,0.7069078407379177,1.9560835668929056e+16,1668.4896663838476,51.02167119246083,3.010326,3607,3360
ridge,40.690569330381074,30.413605401181737,0.7627598851697571,4.69507307576835e+16,46.38895081952737,33.80102598588887,0.7065868165244407,1.8999963649400156e+16,1668.4414260145645,50.74292105353771,4.010292,3615,3352
elastic_net,40.690587201192415,30.422403313631236,0.76275967678367,4.679922745007608e+16,46.38956762136836,33.80885075663125,0.706579013847652,1.9136418999971196e+16,1667.988738821591,50.379782986013566,2.631116,3618,3349
knn,1.069379364751197e-05,3.3010009998095125e-06,0.9999999999999836,3238659675.5483346,49.376911190039415,34.761974698096665,0.6675714152167866,9367483030913098.0,2085.2109411053343,156.0067609052494,56.832382,896,668
